date,product_id,daily_demand,stock_level,reorder_level,supplier_delay
2023-01-02,P29,45,245,89,1
2023-01-02,P30,88,413,37,8
2023-01-02,P31,74,55,63,2
2023-01-02,P32,70,334,32,6
2023-01-02,P33,30,125,52,4
2023-01-02,P34,37,165,53,9
2023-01-02,P35,31,108,59,5
2023-01-02,P36,67,66,62,3
2023-01-02,P37,18,324,68,1
2023-01-02,P38,27,247,37,4
2023-01-02,P39,13,213,73,1
2023-01-02,P40,27,286,97,5
2023-01-02,P41,78,239,88,6
2023-01-02,P42,99,221,29,9
2023-01-02,P43,43,366,74,4
2023-01-02,P44,99,120,23,8
2023-01-02,P45,75,496,48,1
2023-01-02,P46,44,473,31,7
2023-01-02,P47,75,493,34,9
2023-01-02,P48,74,242,22,2
2023-01-02,P49,14,474,98,7
2023-01-02,P50,9,115,37,8
2023-01-03,P1,5,230,40,3
2023-01-03,P2,6,458,23,1
2023-01-03,P3,32,414,60,5
2023-01-03,P4,80,414,23,3
2023-01-03,P5,23,371,94,3
2023-01-03,P6,66,195,71,2
2023-01-03,P7,85,142,82,8
2023-01-03,P8,69,193,86,7
2023-01-03,P9,52,251,82,1
2023-01-03,P10,78,366,76,8
2023-01-03,P11,87,428,64,5
2023-01-03,P12,97,112,95,6
2023-01-03,P13,35,352,64,9
2023-01-03,P14,23,83,37,4
2023-01-03,P15,40,373,83,3
2023-01-03,P16,64,149,80,2
2023-01-03,P17,44,249,26,6
2023-01-03,P18,44,416,76,2
2023-01-03,P19,20,238,58,8
2023-01-03,P20,83,246,36,9
2023-01-03,P21,86,253,91,5
2023-01-03,P22,6,143,82,8
2023-01-03,P23,27,131,87,8
2023-01-03,P24,49,72,38,3
2023-01-03,P25,18,439,29,3
2023-01-03,P26,64,395,98,2
2023-01-03,P27,40,161,81,6
2023-01-03,P28,84,109,20,3
2023-01-03,P29,69,211,54,5
2023-01-03,P30,66,75,44,7
2023-01-03,P31,82,322,80,1
2023-01-03,P32,64,123,28,3
2023-01-03,P33,24,62,90,6
2023-01-03,P34,14,193,80,2
2023-01-03,P35,79,465,40,5
2023-01-03,P36,31,471,83,3
2023-01-03,P37,70,432,84,3
2023-01-03,P38,52,259,85,8
2023-01-03,P39,10,244,68,9
2023-01-03,P40,29,467,69,7
2023-01-03,P41,61,102,63,7
2023-01-03,P42,9,387,72,3
2023-01-03,P43,13,159,70,8
2023-01-03,P44,79,234,66,2
2023-01-03,P45,96,153,36,7
2023-01-03,P46,47,63,98,4
2023-01-03,P47,42,185,68,5
2023-01-03,P48,41,238,21,8
2023-01-03,P49,53,250,28,6
2023-01-03,P50,15,372,90,7
2023-01-04,P1,38,358,71,3
2023-01-04,P2,65,328,41,7
2023-01-04,P3,98,308,82,6
2023-01-04,P4,51,184,63,2
2023-01-04,P5,67,403,72,5
2023-01-04,P6,85,201,50,6
2023-01-04,P7,62,409,38,4
2023-01-04,P8,40,111,86,9
2023-01-04,P9,8,481,63,2
2023-01-04,P10,96,252,84,8
2023-01-04,P11,96,478,77,5
2023-01-04,P12,87,223,51,7
2023-01-04,P13,64,350,75,7
2023-01-04,P14,34,60,28,6
2023-01-04,P15,85,150,30,3
2023-01-04,P16,63,61,38,9
2023-01-04,P17,84,296,78,6
2023-01-04,P18,29,419,54,6
2023-01-04,P19,7,165,58,9
2023-01-04,P20,46,190,59,1
2023-01-04,P21,52,445,23,4
2023-01-04,P22,44,455,52,2
2023-01-04,P23,39,199,29,4
2023-01-04,P24,91,398,33,8
2023-01-04,P25,23,385,76,9
2023-01-04,P26,23,447,88,8
2023-01-04,P27,68,224,58,4
2023-01-04,P28,77,319,22,5
2023-01-04,P29,26,158,79,7
2023-01-04,P30,49,409,93,5
2023-01-04,P31,89,128,28,8
2023-01-04,P32,77,61,58,1
2023-01-04,P33,52,447,34,6
2023-01-04,P34,58,60,98,3
2023-01-04,P35,79,66,73,5
2023-01-04,P36,51,168,46,5
2023-01-04,P37,89,246,69,4
2023-01-04,P38,48,155,67,1
2023-01-04,P39,23,362,65,4
2023-01-04,P40,27,303,52,9
2023-01-04,P41,11,460,48,3
2023-01-04,P42,69,417,23,7
2023-01-04,P43,78,496,61,9
2023-01-04,P44,75,114,33,3
2023-01-04,P45,46,272,61,9
2023-01-04,P46,68,105,58,3
2023-01-04,P47,83,88,34,1
2023-01-04,P48,85,363,51,5
2023-01-04,P49,47,307,98,9
2023-01-04,P50,50,333,35,9
2023-01-05,P1,55,395,51,3
2023-01-05,P2,27,216,28,7
2023-01-05,P3,47,490,95,1
2023-01-05,P4,75,53,56,9
2023-01-05,P5,71,421,62,2
2023-01-05,P6,47,307,93,6
2023-01-05,P7,41,463,26,8
2023-01-05,P8,75,140,47,8
2023-01-05,P9,11,409,94,5
2023-01-05,P10,53,359,59,9
2023-01-05,P11,61,254,70,1
2023-01-05,P12,69,403,95,9
2023-01-05,P13,83,466,80,4
2023-01-05,P14,46,318,92,9
2023-01-05,P15,78,388,73,4
2023-01-05,P16,69,245,96,8
2023-01-05,P17,43,389,36,8
2023-01-05,P18,77,348,32,7
2023-01-05,P19,20,382,22,7
2023-01-05,P20,11,301,45,9
2023-01-05,P21,8,349,99,7
2023-01-05,P22,22,313,66,2
2023-01-05,P23,57,440,96,2
2023-01-05,P24,6,337,47,4
2023-01-05,P25,79,154,46,4
2023-01-05,P26,69,147,85,3
2023-01-05,P27,57,103,54,1
2023-01-05,P28,95,324,50,4
2023-01-05,P29,12,498,89,5
2023-01-05,P30,49,65,96,8
2023-01-05,P31,48,218,94,5
2023-01-05,P32,31,181,93,6
2023-01-05,P33,13,217,52,4
2023-01-05,P34,82,167,65,1
2023-01-05,P35,84,377,97,4
2023-01-05,P36,45,62,29,7
2023-01-05,P37,29,313,24,2
2023-01-05,P38,94,258,56,2
2023-01-05,P39,27,316,86,4
2023-01-05,P40,39,85,83,9
2023-01-05,P41,96,136,30,4
2023-01-05,P42,26,459,54,7
2023-01-05,P43,50,482,59,6
2023-01-05,P44,48,156,47,5
2023-01-05,P45,25,127,35,1
2023-01-05,P46,5,448,23,4
2023-01-05,P47,49,234,49,6
2023-01-05,P48,50,56,64,9
2023-01-05,P49,99,302,43,6
2023-01-05,P50,38,250,40,1
2023-01-06,P1,11,188,60,7
2023-01-06,P2,74,197,25,9
2023-01-06,P3,35,226,68,8
2023-01-06,P4,8,362,26,9
2023-01-06,P5,63,498,65,7
2023-01-06,P6,44,491,85,9
2023-01-06,P7,61,228,72,6
2023-01-06,P8,29,167,65,7
2023-01-06,P9,67,106,47,2
2023-01-06,P10,51,135,46,4
2023-01-06,P11,76,450,82,9
2023-01-06,P12,82,266,63,4
2023-01-06,P13,63,378,38,2
2023-01-06,P14,15,256,98,4
2023-01-06,P15,26,360,73,6
2023-01-06,P16,76,184,98,8
2023-01-06,P17,83,423,22,2
2023-01-06,P18,57,334,75,7
2023-01-06,P19,94,275,65,8
2023-01-06,P20,81,283,92,8
2023-01-06,P21,91,180,83,3
2023-01-06,P22,22,306,55,1
2023-01-06,P23,23,328,47,3
2023-01-06,P24,41,425,57,6
2023-01-06,P25,76,313,84,7
2023-01-06,P26,45,177,76,5
2023-01-06,P27,66,370,51,9
2023-01-06,P28,36,323,67,6
2023-01-06,P29,37,124,97,6
2023-01-06,P30,74,368,58,9
2023-01-06,P31,65,328,79,5
2023-01-06,P32,53,301,80,1
2023-01-06,P33,91,292,93,9
2023-01-06,P34,96,284,81,5
2023-01-06,P35,23,414,61,5
2023-01-06,P36,88,240,62,6
2023-01-06,P37,92,147,39,8
2023-01-06,P38,63,100,25,3
2023-01-06,P39,42,241,43,3
2023-01-06,P40,47,484,74,1
2023-01-06,P41,92,269,53,7
2023-01-06,P42,94,160,33,3
2023-01-06,P43,65,118,62,3
2023-01-06,P44,66,327,29,1
2023-01-06,P45,50,380,27,6
2023-01-06,P46,71,432,61,3
2023-01-06,P47,6,245,28,6
2023-01-06,P48,76,79,74,6
2023-01-06,P49,92,458,44,8
2023-01-06,P50,81,154,64,5
2023-01-07,P1,75,377,55,6
2023-01-07,P2,18,346,60,8
2023-01-07,P3,15,95,85,2
2023-01-07,P4,27,411,59,3
2023-01-07,P5,78,136,79,3
2023-01-07,P6,9,463,98,3
2023-01-07,P7,13,248,65,6
2023-01-07,P8,55,149,29,7
2023-01-07,P9,16,333,43,9
2023-01-07,P10,65,328,28,1
2023-01-07,P11,71,402,29,1
2023-01-07,P12,24,483,69,2
2023-01-07,P13,88,187,88,6
2023-01-07,P14,88,136,27,1
2023-01-07,P15,10,386,28,8
2023-01-07,P16,80,287,23,7
2023-01-07,P17,93,67,53,5
2023-01-07,P18,63,200,63,5
2023-01-07,P19,25,155,44,5
2023-01-07,P20,95,464,44,9
2023-01-07,P21,56,359,66,5
2023-01-07,P22,35,285,94,7
2023-01-07,P23,94,93,89,8
2023-01-07,P24,45,88,97,5
2023-01-07,P25,24,102,58,1
2023-01-07,P26,73,141,23,3
2023-01-07,P27,46,440,33,6
2023-01-07,P28,45,204,70,9
2023-01-07,P29,59,235,39,1
2023-01-07,P30,62,347,50,7
2023-01-07,P31,86,339,40,8
2023-01-07,P32,85,371,99,4
2023-01-07,P33,63,387,68,3
2023-01-07,P34,18,493,27,1
2023-01-07,P35,68,392,71,7
2023-01-07,P36,14,229,68,2
2023-01-07,P37,71,153,78,8
2023-01-07,P38,56,112,92,3
2023-01-07,P39,30,232,68,9
2023-01-07,P40,61,401,30,1
2023-01-07,P41,37,341,50,2
2023-01-07,P42,46,50,70,8
2023-01-07,P43,32,488,43,8
2023-01-07,P44,39,82,49,3
2023-01-07,P45,21,273,22,9
2023-01-07,P46,37,311,32,8
2023-01-07,P47,45,309,95,5
2023-01-07,P48,61,477,62,3
2023-01-07,P49,36,417,57,1
2023-01-07,P50,33,353,41,8
2023-01-08,P1,95,67,74,8
2023-01-08,P2,75,206,82,9
2023-01-08,P3,39,281,22,3
2023-01-08,P4,37,432,87,4
2023-01-08,P5,15,368,45,9
2023-01-08,P6,84,52,67,3
2023-01-08,P7,27,220,25,6
2023-01-08,P8,25,498,89,3
2023-01-08,P9,44,464,61,9
2023-01-08,P10,9,81,71,6
2023-01-08,P11,8,453,34,2
2023-01-08,P12,23,279,76,9
2023-01-08,P13,24,157,24,2
2023-01-08,P14,16,383,63,2
2023-01-08,P15,87,56,45,6
2023-01-08,P16,91,303,30,5
2023-01-08,P17,30,304,40,8
2023-01-08,P18,21,481,76,5
2023-01-08,P19,75,394,40,6
2023-01-08,P20,35,367,27,4
2023-01-08,P21,22,62,59,9
2023-01-08,P22,67,64,20,6
2023-01-08,P23,66,209,29,3
2023-01-08,P24,90,122,53,8
2023-01-08,P25,67,157,81,6
2023-01-08,P26,93,181,77,7
2023-01-08,P27,81,482,21,7
2023-01-08,P28,28,248,57,4
2023-01-08,P29,90,162,52,7
2023-01-08,P30,55,198,87,9
2023-01-08,P31,5,70,63,4
2023-01-08,P32,70,298,73,8
2023-01-08,P33,8,410,35,9
2023-01-08,P34,81,399,94,5
2023-01-08,P35,28,345,96,5
2023-01-08,P36,43,413,74,7
2023-01-08,P37,30,486,52,8
2023-01-08,P38,8,476,60,8
2023-01-08,P39,36,128,75,5
2023-01-08,P40,34,136,72,2
2023-01-08,P41,18,123,60,1
2023-01-08,P42,86,311,44,2
2023-01-08,P43,25,443,45,1
2023-01-08,P44,90,423,91,6
2023-01-08,P45,95,132,46,6
2023-01-08,P46,57,90,60,6
2023-01-08,P47,92,234,63,5
2023-01-08,P48,18,186,39,4
2023-01-08,P49,94,467,93,8
2023-01-08,P50,41,488,87,3
2023-01-09,P1,93,245,30,4
2023-01-09,P2,69,276,37,2
2023-01-09,P3,64,183,41,7
2023-01-09,P4,72,448,96,5
2023-01-09,P5,98,138,86,4
2023-01-09,P6,51,323,31,9
2023-01-09,P7,18,89,99,7
2023-01-09,P8,18,274,71,7
2023-01-09,P9,22,484,96,6
2023-01-09,P10,5,467,82,9
2023-01-09,P11,41,312,22,1
2023-01-09,P12,66,422,77,3
2023-01-09,P13,31,457,68,8
2023-01-09,P14,69,204,93,2
2023-01-09,P15,20,258,75,7
2023-01-09,P16,87,186,49,4
2023-01-09,P17,64,350,45,8
2023-01-09,P18,76,481,40,7
2023-01-09,P19,49,400,61,2
2023-01-09,P20,93,461,59,4
2023-01-09,P21,33,284,50,1
2023-01-09,P22,89,404,65,7
2023-01-09,P23,53,450,28,4
2023-01-09,P24,81,386,56,8
2023-01-09,P25,36,215,44,8
2023-01-09,P26,11,105,90,6
2023-01-09,P27,54,175,72,9
2023-01-09,P28,70,492,34,5
2023-01-09,P29,93,174,39,6
2023-01-09,P30,45,293,22,7
2023-01-09,P31,14,103,47,8
2023-01-09,P32,18,362,57,9
2023-01-09,P33,54,497,76,9
2023-01-09,P34,46,475,51,8
2023-01-09,P35,33,296,32,2
2023-01-09,P36,83,292,74,2
2023-01-09,P37,98,433,43,1
2023-01-09,P38,94,103,43,2
2023-01-09,P39,77,416,93,8
2023-01-09,P40,97,404,61,4
2023-01-09,P41,71,111,85,1
2023-01-09,P42,57,212,79,6
2023-01-09,P43,50,447,63,1
2023-01-09,P44,90,116,83,4
2023-01-09,P45,29,406,47,4
2023-01-09,P46,86,114,93,5
2023-01-09,P47,44,310,63,3
2023-01-09,P48,13,306,57,6
2023-01-09,P49,25,196,56,1
2023-01-09,P50,89,481,75,3
2023-01-10,P1,76,423,32,9
2023-01-10,P2,28,80,44,1
2023-01-10,P3,60,240,88,9
2023-01-10,P4,9,145,56,2
2023-01-10,P5,63,384,21,3
2023-01-10,P6,36,335,74,2
2023-01-10,P7,73,460,42,7
2023-01-10,P8,29,436,84,8
2023-01-10,P9,98,105,38,1
2023-01-10,P10,93,406,44,8
2023-01-10,P11,99,344,59,1
2023-01-10,P12,84,163,66,6
2023-01-10,P13,86,438,87,5
2023-01-10,P14,22,293,69,2
2023-01-10,P15,15,246,22,1
2023-01-10,P16,30,246,57,9
2023-01-10,P17,52,455,39,6
2023-01-10,P18,15,473,22,7
2023-01-10,P19,69,85,64,5
2023-01-10,P20,55,497,33,1
2023-01-10,P21,85,171,68,5
2023-01-10,P22,32,289,25,2
2023-01-10,P23,24,184,83,2
2023-01-10,P24,87,466,88,9
2023-01-10,P25,90,52,86,7
2023-01-10,P26,48,382,76,8
2023-01-10,P27,14,146,83,6
2023-01-10,P28,63,202,54,6
2023-01-10,P29,73,473,42,2
2023-01-10,P30,27,254,77,5
2023-01-10,P31,71,292,72,6
2023-01-10,P32,21,307,45,3
2023-01-10,P33,52,439,55,8
2023-01-10,P34,62,298,60,7
2023-01-10,P35,22,149,89,1
2023-01-10,P36,58,303,42,5
2023-01-10,P37,32,369,53,3
2023-01-10,P38,54,339,67,4
2023-01-10,P39,28,90,24,2
2023-01-10,P40,82,442,63,5
2023-01-10,P41,74,465,78,3
2023-01-10,P42,91,70,31,2
2023-01-10,P43,27,319,94,8
2023-01-10,P44,50,268,66,7
2023-01-10,P45,74,469,29,4
2023-01-10,P46,42,373,27,5
2023-01-10,P47,82,443,26,3
2023-01-10,P48,41,314,30,2
2023-01-10,P49,34,139,37,1
2023-01-10,P50,62,115,62,6
2023-01-11,P1,46,201,89,9
2023-01-11,P2,98,485,95,8
2023-01-11,P3,42,368,66,1
2023-01-11,P4,88,298,47,1
2023-01-11,P5,67,374,52,4
2023-01-11,P6,48,96,41,3
2023-01-11,P7,32,438,93,7
2023-01-11,P8,73,324,56,3
2023-01-11,P9,9,446,86,9
2023-01-11,P10,11,320,39,1
2023-01-11,P11,98,153,42,2
2023-01-11,P12,53,114,45,3
2023-01-11,P13,47,213,82,7
2023-01-11,P14,15,92,70,9
2023-01-11,P15,89,95,45,9
2023-01-11,P16,70,447,82,5
2023-01-11,P17,87,67,63,5
2023-01-11,P18,33,55,79,9
2023-01-11,P19,62,446,54,7
2023-01-11,P20,65,187,54,9
2023-01-11,P21,95,446,62,1
2023-01-11,P22,98,75,28,7
2023-01-11,P23,77,494,71,6
2023-01-11,P24,98,486,97,4
2023-01-11,P25,19,210,34,6
2023-01-11,P26,93,179,72,2
2023-01-11,P27,90,483,98,1
2023-01-11,P28,17,110,90,5
2023-01-11,P29,74,293,85,2
2023-01-11,P30,51,103,31,4
2023-01-11,P31,19,466,46,1
2023-01-11,P32,88,115,40,4
2023-01-11,P33,38,468,36,9
2023-01-11,P34,50,281,52,5
2023-01-11,P35,83,100,55,1
2023-01-11,P36,43,481,99,2
2023-01-11,P37,94,234,93,8
2023-01-11,P38,30,332,59,7
2023-01-11,P39,65,71,86,9
2023-01-11,P40,79,143,33,5
2023-01-11,P41,74,116,98,3
2023-01-11,P42,27,270,56,4
2023-01-11,P43,24,101,36,9
2023-01-11,P44,64,440,78,1
2023-01-11,P45,12,432,38,9
2023-01-11,P46,75,471,97,7
2023-01-11,P47,8,390,51,2
2023-01-11,P48,77,225,73,8
2023-01-11,P49,91,366,80,1
2023-01-11,P50,38,415,86,2
2023-01-12,P1,22,56,21,3
2023-01-12,P2,25,135,67,7
2023-01-12,P3,16,233,57,2
2023-01-12,P4,66,260,80,4
2023-01-12,P5,12,203,54,2
2023-01-12,P6,71,458,41,4
2023-01-12,P7,44,206,78,7
2023-01-12,P8,22,149,51,7
2023-01-12,P9,74,490,62,4
2023-01-12,P10,66,95,45,6
2023-01-12,P11,24,399,87,2
2023-01-12,P12,25,136,87,2
2023-01-12,P13,50,136,84,9
2023-01-12,P14,85,387,29,2
2023-01-12,P15,64,204,28,3
2023-01-12,P16,63,212,45,3
2023-01-12,P17,29,369,37,7
2023-01-12,P18,93,370,33,9
2023-01-12,P19,39,299,75,4
2023-01-12,P20,53,86,75,2
2023-01-12,P21,13,207,64,7
2023-01-12,P22,24,50,51,8
2023-01-12,P23,61,159,46,8
2023-01-12,P24,81,448,45,4
2023-01-12,P25,46,389,25,8
2023-01-12,P26,42,260,81,5
2023-01-12,P27,49,296,46,7
2023-01-12,P28,25,276,47,8
2023-01-12,P29,89,384,41,7
2023-01-12,P30,53,77,21,4
2023-01-12,P31,18,129,30,8
2023-01-12,P32,80,169,26,9
2023-01-12,P33,54,134,44,9
2023-01-12,P34,31,388,45,3
2023-01-12,P35,37,149,63,5
2023-01-12,P36,74,433,97,6
2023-01-12,P37,9,140,63,7
2023-01-12,P38,82,410,87,6
2023-01-12,P39,55,354,71,7
2023-01-12,P40,93,380,37,6
2023-01-12,P41,79,63,42,6
2023-01-12,P42,93,494,39,1
2023-01-12,P43,90,254,70,2
2023-01-12,P44,66,298,38,7
2023-01-12,P45,52,137,47,6
2023-01-12,P46,93,484,48,1
2023-01-12,P47,8,230,85,8
2023-01-12,P48,89,100,99,8
2023-01-12,P49,15,277,96,6
2023-01-12,P50,9,316,39,7
2023-01-13,P1,24,369,75,1
2023-01-13,P2,29,197,40,9
2023-01-13,P3,8,479,59,8
2023-01-13,P4,82,177,42,1
2023-01-13,P5,15,156,99,2
2023-01-13,P6,35,365,35,6
2023-01-13,P7,8,216,90,5
2023-01-13,P8,27,185,70,4
2023-01-13,P9,39,217,29,5
2023-01-13,P10,71,197,86,5
2023-01-13,P11,99,317,91,7
2023-01-13,P12,93,410,49,6
2023-01-13,P13,41,106,66,5
2023-01-13,P14,40,456,40,1
2023-01-13,P15,52,81,37,3
2023-01-13,P16,39,134,52,4
2023-01-13,P17,85,85,97,4
2023-01-13,P18,33,497,71,9
2023-01-13,P19,51,278,89,4
2023-01-13,P20,44,288,93,9
2023-01-13,P21,74,290,28,8
2023-01-13,P22,92,494,51,8
2023-01-13,P23,79,154,54,8
2023-01-13,P24,56,433,59,1
2023-01-13,P25,54,365,28,1
2023-01-13,P26,81,265,46,8
2023-01-13,P27,44,141,73,2
2023-01-13,P28,65,204,57,7
2023-01-13,P29,31,194,99,2
2023-01-13,P30,77,115,53,8
2023-01-13,P31,35,169,29,3
2023-01-13,P32,35,184,41,1
2023-01-13,P33,82,284,74,6
2023-01-13,P34,21,339,32,9
2023-01-13,P35,88,187,51,7
2023-01-13,P36,67,381,46,1
2023-01-13,P37,11,155,57,7
2023-01-13,P38,79,141,22,8
2023-01-13,P39,75,365,31,3
2023-01-13,P40,49,255,32,4
2023-01-13,P41,5,207,46,8
2023-01-13,P42,47,82,48,4
2023-01-13,P43,81,292,33,6
2023-01-13,P44,19,232,73,5
2023-01-13,P45,86,235,39,7
2023-01-13,P46,73,245,44,6
2023-01-13,P47,85,389,71,3
2023-01-13,P48,83,347,65,9
2023-01-13,P49,48,306,43,8
2023-01-13,P50,78,312,26,2
2023-01-14,P1,23,104,35,2
2023-01-14,P2,42,80,43,1
2023-01-14,P3,45,495,70,3
2023-01-14,P4,19,285,87,8
2023-01-14,P5,60,309,79,2
2023-01-14,P6,88,52,66,5
2023-01-14,P7,8,473,64,8
2023-01-14,P8,35,266,84,6
2023-01-14,P9,57,181,27,8
2023-01-14,P10,43,70,95,3
2023-01-14,P11,78,397,24,5
2023-01-14,P12,39,215,85,6
2023-01-14,P13,49,118,29,8
2023-01-14,P14,47,88,77,3
2023-01-14,P15,28,327,71,6
2023-01-14,P16,49,341,51,3
2023-01-14,P17,61,430,65,5
2023-01-14,P18,37,171,63,1
2023-01-14,P19,75,57,54,4
2023-01-14,P20,31,347,26,9
2023-01-14,P21,96,62,72,2
2023-01-14,P22,92,198,30,9
2023-01-14,P23,79,433,31,4
2023-01-14,P24,34,159,45,7
2023-01-14,P25,93,126,25,7
2023-01-14,P26,22,187,26,4
2023-01-14,P27,33,318,33,8
2023-01-14,P28,80,141,21,1
2023-01-14,P29,73,205,33,4
2023-01-14,P30,25,179,69,7
2023-01-14,P31,54,357,97,1
2023-01-14,P32,48,406,45,3
2023-01-14,P33,74,244,37,6
2023-01-14,P34,60,161,20,3
2023-01-14,P35,84,110,98,2
2023-01-14,P36,69,187,97,3
2023-01-14,P37,41,281,88,8
2023-01-14,P38,57,173,85,1
2023-01-14,P39,96,378,29,3
2023-01-14,P40,46,426,33,6
2023-01-14,P41,5,483,48,4
2023-01-14,P42,79,327,31,9
2023-01-14,P43,91,379,89,3
2023-01-14,P44,71,314,99,3
2023-01-14,P45,36,56,99,5
2023-01-14,P46,67,206,39,6
2023-01-14,P47,72,302,36,8
2023-01-14,P48,81,288,65,6
2023-01-14,P49,8,377,97,3
2023-01-14,P50,66,329,76,8
2023-01-15,P1,61,187,60,8
2023-01-15,P2,25,111,92,8
2023-01-15,P3,47,384,61,1
2023-01-15,P4,86,131,89,1
2023-01-15,P5,24,94,41,5
2023-01-15,P6,13,186,74,9
2023-01-15,P7,9,475,31,4
2023-01-15,P8,86,308,25,5
2023-01-15,P9,68,155,69,7
2023-01-15,P10,21,229,86,6
2023-01-15,P11,96,237,31,8
2023-01-15,P12,60,191,60,9
2023-01-15,P13,72,339,28,9
2023-01-15,P14,34,454,70,9
2023-01-15,P15,92,218,97,7
2023-01-15,P16,5,461,20,3
2023-01-15,P17,70,253,93,6
2023-01-15,P18,87,197,54,3
2023-01-15,P19,68,458,88,7
2023-01-15,P20,97,54,92,3
2023-01-15,P21,7,252,67,7
2023-01-15,P22,58,245,90,1
2023-01-15,P23,20,142,27,5
2023-01-15,P24,51,403,23,8
2023-01-15,P25,37,360,54,1
2023-01-15,P26,92,298,55,5
2023-01-15,P27,89,412,84,3
2023-01-15,P28,92,392,36,6
2023-01-15,P29,86,427,91,1
2023-01-15,P30,89,488,26,4
2023-01-15,P31,42,281,38,7
2023-01-15,P32,24,85,29,7
2023-01-15,P33,21,152,54,7
2023-01-15,P34,66,152,41,2
2023-01-15,P35,99,117,97,3
2023-01-15,P36,49,192,59,4
2023-01-15,P37,54,357,57,6
2023-01-15,P38,26,102,32,1
2023-01-15,P39,6,321,62,7
2023-01-15,P40,15,208,33,4
2023-01-15,P41,76,183,54,6
2023-01-15,P42,32,447,67,2
2023-01-15,P43,62,398,74,4
2023-01-15,P44,56,197,35,2
2023-01-15,P45,25,167,87,9
2023-01-15,P46,55,275,83,9
2023-01-15,P47,22,290,72,7
2023-01-15,P48,10,368,21,2
2023-01-15,P49,32,416,57,2
2023-01-15,P50,75,91,32,2
2023-01-16,P1,91,319,44,6
2023-01-16,P2,80,326,50,9
2023-01-16,P3,9,430,81,4
2023-01-16,P4,7,194,67,6
2023-01-16,P5,82,185,70,7
2023-01-16,P6,80,349,94,1
2023-01-16,P7,28,452,29,1
2023-01-16,P8,5,463,40,2
2023-01-16,P9,30,94,71,5
2023-01-16,P10,8,55,30,1
2023-01-16,P11,52,393,53,6
2023-01-16,P12,95,219,93,6
2023-01-16,P13,18,400,40,7
2023-01-16,P14,60,407,23,6
2023-01-16,P15,86,397,91,1
2023-01-16,P16,25,121,81,8
2023-01-16,P17,47,408,34,7
2023-01-16,P18,38,471,52,1
2023-01-16,P19,80,318,51,3
2023-01-16,P20,75,185,93,5
2023-01-16,P21,74,197,48,9
2023-01-16,P22,87,499,38,3
2023-01-16,P23,84,316,45,9
2023-01-16,P24,60,131,95,2
